time,xa,ya,xb,yb
4.6,0.1905382386916229,9.54,0.45999999999999996,9.809461761308377
4.7,0.19468037431535423,9.53,0.47000000000000003,9.805319625684646
4.8,0.19882250993908535,9.52,0.48,9.801177490060915
4.9,0.20296464556281657,9.51,0.49000000000000005,9.797035354437183
5.0,0.20710678118654768,9.5,0.5,9.792893218813452
5.1,0.2112489168102788,9.49,0.51,9.788751083189721
5.2,0.21539105243401002,9.48,0.52,9.78460894756599
5.3,0.21953318805774114,9.47,0.53,9.780466811942258
5.4,0.22367532368147236,9.46,0.54,9.776324676318527
5.5,0.2278174593052017,9.45,0.55,9.772182540694798
5.6,0.2319595949289328,9.44,0.5599999999999999,9.768040405071067
5.7,0.23610173055266404,9.43,0.5700000000000001,9.763898269447337
5.8,0.24024386617639515,9.42,0.58,9.759756133823604
5.9,0.24438600180012637,9.41,0.5900000000000001,9.755613998199873
6.0,0.2485281374238575,9.4,0.6000000000000001,9.751471862576143
6.1,0.2526702730475887,9.39,0.61,9.747329726952412
6.2,0.25681240867131816,9.379999999999999,0.6200000000000001,9.743187591328681
6.3,0.2609545442950493,9.37,0.63,9.73904545570495
6.4,0.2650966799187805,9.36,0.6400000000000001,9.73490332008122
6.5,0.2692388155425116,9.35,0.65,9.730761184457489
6.6,0.2733809511662427,9.34,0.66,9.726619048833758
6.7,0.27752308678997395,9.33,0.67,9.722476913210025
6.8,0.28166522241370506,9.32,0.68,9.718334777586294
6.9,0.2858073580374363,9.31,0.6900000000000001,9.714192641962564
7.0,0.2899494936611674,9.3,0.7000000000000001,9.710050506338833
7.1,0.29409162928489674,9.29,0.71,9.705908370715104
7.2,0.29823376490862796,9.28,0.7200000000000001,9.701766235091371
7.3,0.3023759005323592,9.27,0.73,9.69762409946764
7.4,0.3065180361560904,9.26,0.7400000000000001,9.69348196384391
7.5,0.3106601717798214,9.25,0.75,9.689339828220179
7.6,0.31480230740355264,9.24,0.76,9.685197692596446
7.7,0.31894444302728386,9.23,0.77,9.681055556972716
7.8,0.32308657865101487,9.22,0.78,9.676913421348985
7.9,0.3272287142747461,9.21,0.79,9.672771285725254
8.0,0.33137084989847554,9.2,0.8,9.668629150101525
8.1,0.33551298552220676,9.19,0.81,9.664487014477793
8.2,0.33965512114593777,9.18,0.82,9.660344878854062
8.3,0.3437972567696692,9.17,0.8300000000000001,9.656202743230331
8.4,0.3479393923934002,9.16,0.8400000000000001,9.6520606076066
8.5,0.35208152801713144,9.15,0.8500000000000001,9.64791847198287
8.6,0.35622366364086244,9.14,0.86,9.643776336359137
8.7,0.36036579926459367,9.13,0.87,9.639634200735406
8.8,0.3645079348883231,9.12,0.8800000000000001,9.635492065111677
8.9,0.36865007051205434,9.11,0.8900000000000001,9.631349929487946
9.0,0.37279220613578534,9.1,0.9,9.627207793864216
9.1,0.37693434175951657,9.09,0.91,9.623065658240483
9.2,0.38107647738324757,9.08,0.9199999999999999,9.618923522616752
9.3,0.385218613006979,9.07,0.9300000000000002,9.614781386993021
9.4,0.38936074863071024,9.06,0.9400000000000001,9.610639251369289
9.5,0.39350288425444124,9.05,0.9500000000000001,9.606497115745558
9.6,0.3976450198781707,9.04,0.96,9.602354980121829
9.7,0.4017871555019017,9.03,0.97,9.598212844498098
9.8,0.40592929112563314,9.02,0.9800000000000001,9.594070708874368
9.9,0.41007142674936414,9.01,0.9900000000000001,9.589928573250635
10.0,0.41421356237309537,9.0,1.0,9.585786437626904
10.1,0.41835569799682637,8.99,1.01,9.581644302003173
10.2,0.4224978336205576,8.98,1.02,9.577502166379443
10.3,0.4266399692442888,8.97,1.03,9.573360030755712
10.4,0.43078210486802004,8.96,1.04,9.56921789513198
10.5,0.43492424049174927,8.95,1.05,9.56507575950825
10.6,0.4390663761154805,8.94,1.06,9.56093362388452
10.7,0.4432085117392115,8.93,1.07,9.556791488260789
10.8,0.44735064736294294,8.92,1.08,9.552649352637058
10.9,0.45149278298667417,8.91,1.09,9.548507217013325
11.0,0.45563491861040517,8.9,1.1,9.544365081389595
11.1,0.4597770542341364,8.89,1.11,9.540222945765864
11.2,0.4639191898578674,8.88,1.1199999999999999,9.536080810142133
11.3,0.46806132548159707,8.87,1.1300000000000001,9.531938674518402
11.4,0.47220346110532807,8.86,1.1400000000000001,9.527796538894671
11.5,0.4763455967290593,8.85,1.1500000000000001,9.52365440327094
11.6,0.4804877323527903,8.84,1.16,9.51951226764721
11.7,0.4846298679765215,8.83,1.17,9.51537013202348
11.8,0.48877200360025275,8.82,1.1800000000000002,9.511227996399747
11.9,0.49291413922398397,8.81,1.1900000000000002,9.507085860776016
12.0,0.497056274847715,8.8,1.2000000000000002,9.502943725152285
12.1,0.5011984104714444,8.79,1.21,9.498801589528556
12.2,0.5053405460951756,8.78,1.22,9.494659453904823
12.3,0.5094826817189069,8.77,1.2300000000000002,9.490517318281093
12.4,0.5136248173426381,8.76,1.2400000000000002,9.486375182657362
12.5,0.5177669529663691,8.75,1.25,9.482233047033631
12.6,0.5219090885901003,8.74,1.26,9.4780909114099
12.7,0.5260512242138313,8.73,1.27,9.47394877578617
12.8,0.530193359837561,8.719999999999999,1.2800000000000002,9.469806640162439
12.9,0.5343354954612938,8.71,1.29,9.465664504538706
13.0,0.5384776310850232,8.7,1.3,9.461522368914977
13.1,0.5426197667087542,8.69,1.31,9.457380233291246
13.2,0.5467619023324854,8.68,1.32,9.453238097667514
13.3,0.5509040379562169,8.67,1.33,9.449095962043783
13.4,0.5550461735799479,8.66,1.34,9.444953826420052
13.5,0.5591883092036791,8.65,1.35,9.440811690796322
13.6,0.5633304448274101,8.64,1.36,9.436669555172589
13.7,0.5674725804511396,8.629999999999999,1.37,9.43252741954886
13.8,0.5716147160748708,8.62,1.3800000000000001,9.42838528392513
13.9,0.575756851698602,8.61,1.3900000000000001,9.424243148301398
14.0,0.579898987322333,8.6,1.4000000000000001,9.420101012677668
14.1,0.5840411229460643,8.59,1.4100000000000001,9.415958877053935
14.2,0.5881832585697953,8.58,1.42,9.411816741430204
14.3,0.5923253941935265,8.57,1.4300000000000002,9.407674605806474
14.4,0.5964675298172577,8.56,1.4400000000000002,9.403532470182743
14.5,0.6006096654409889,8.55,1.4500000000000002,9.399390334559012
14.6,0.6047518010647184,8.54,1.46,9.395248198935281
14.7,0.6088939366884492,8.53,1.47,9.39110606331155
14.8,0.6130360723121808,8.52,1.4800000000000002,9.38696392768782
14.9,0.617178207935912,8.51,1.4900000000000002,9.382821792064089
15.0,0.6213203435596428,8.5,1.5,9.378679656440358
15.1,0.625462479183374,8.49,1.51,9.374537520816626
15.2,0.6296046148071053,8.48,1.52,9.370395385192895
15.3,0.6337467504308347,8.469999999999999,1.5300000000000002,9.366253249569166
15.4,0.6378888860545677,8.46,1.54,9.362111113945431
15.5,0.6420310216782972,8.45,1.55,9.357968978321702
15.6,0.646173157302028,8.44,1.56,9.353826842697972
15.7,0.6503152929257592,8.43,1.57,9.34968470707424
15.8,0.6544574285494904,8.42,1.58,9.34554257145051
15.9,0.6585995641732216,8.41,1.59,9.341400435826777
16.0,0.6627416997969529,8.4,1.6,9.337258300203047
16.1,0.6668838354206841,8.39,1.6100000000000003,9.333116164579316
16.2,0.6710259710444135,8.379999999999999,1.62,9.328974028955587
16.3,0.6751681066681448,8.37,1.6300000000000001,9.324831893331854
16.4,0.6793102422918755,8.36,1.64,9.320689757708124
16.5,0.6834523779156068,8.35,1.6500000000000001,9.316547622084393
16.6,0.6875945135393384,8.34,1.6600000000000001,9.312405486460662
16.7,0.6917366491630692,8.33,1.67,9.308263350836931
16.8,0.6958787847868004,8.32,1.6800000000000002,9.3041212152132
16.9,0.7000209204105312,8.31,1.69,9.29997907958947
17.0,0.7041630560342629,8.3,1.7000000000000002,9.295836943965737
17.1,0.7083051916579923,8.29,1.7100000000000002,9.291694808342008
17.2,0.7124473272817231,8.28,1.72,9.287552672718277
17.3,0.7165894629054548,8.27,1.7300000000000002,9.283410537094545
17.4,0.7207315985291856,8.26,1.74,9.279268401470814
17.5,0.7248737341529168,8.25,1.75,9.275126265847083
17.6,0.729015869776648,8.24,1.7600000000000002,9.270984130223352
17.7,0.7331580054003792,8.23,1.77,9.26684199459962
17.8,0.7373001410241087,8.219999999999999,1.7800000000000002,9.26269985897589
17.9,0.7414422766478412,8.21,1.79,9.258557723352158
18.0,0.7455844122715707,8.2,1.8,9.25441558772843
18.1,0.7497265478953024,8.19,1.8100000000000003,9.250273452104697
18.2,0.7538686835190331,8.18,1.82,9.246131316480966
18.3,0.7580108191427644,8.17,1.83,9.241989180857235
18.4,0.7621529547664951,8.16,1.8399999999999999,9.237847045233504
18.5,0.7662950903902268,8.15,1.85,9.233704909609774
18.6,0.770437226013958,8.14,1.8600000000000003,9.229562773986043
18.7,0.774579361637687,8.129999999999999,1.87,9.225420638362312
18.8,0.7787214972614187,8.12,1.8800000000000001,9.221278502738581
18.9,0.7828636328851495,8.11,1.89,9.21713636711485
19.0,0.7870057685088807,8.1,1.9000000000000001,9.21299423149112
19.1,0.7911479041326119,8.09,1.9100000000000001,9.208852095867389
19.2,0.7952900397563432,8.08,1.92,9.204709960243656
19.3,0.7994321753800744,8.07,1.9300000000000002,9.200567824619926
19.4,0.8035743110038052,8.06,1.94,9.196425688996195
19.5,0.8077164466275364,8.05,1.9500000000000002,9.192283553372464
19.6,0.8118585822512663,8.04,1.9600000000000002,9.188141417748733
19.7,0.8160007178749971,8.03,1.97,9.183999282125002
19.8,0.8201428534987283,8.02,1.9800000000000002,9.179857146501272
19.9,0.8242849891224591,8.01,1.99,9.175715010877541
20.0,0.8284271247461907,8.0,2.0,9.171572875253808
